country,n
Nigeria,5
South Africa,6
Kenya,3
Ghana,1
Tanzania,3
Australia,4
Mexico,3
Brazil,1
Papua New Guinea,1
Syria,1
Cameroon,3
USA,2
Canada,1
India,3
UK,1
Belgium,1
Indonesia,1
Nepal,2
Burma,3
Iran,1
China,2
Bangladesh,1
Liberia,3
Malawi,1
Egypt,1
Botswana,1
Zimbabwe,1
France,1
